group,variable,value
2019-10-31,Cons,0
2019-10-31,Lab,0
2019-10-31,LD,0
2019-10-31,BP,0
2019-10-31,SNP,0
2019-10-31,PC,0
2019-10-31,Green,0
2019-10-31,Ind,0
2019-10-31,Remain,0
2019-10-31,Leave,0
2019-11-01,Cons,6955
2019-11-01,Lab,17012
2019-11-01,LD,6368
2019-11-01,BP,550
2019-11-01,SNP,250
2019-11-01,PC,201
2019-11-01,Green,250
2019-11-01,Ind,0
2019-11-01,Remain,5473
2019-11-01,Leave,100
2019-11-02,Cons,22187
2019-11-02,Lab,34214
2019-11-02,LD,14776
2019-11-02,BP,1150
2019-11-02,SNP,450
2019-11-02,PC,418
2019-11-02,Green,450
2019-11-02,Ind,0
2019-11-02,Remain,11340
2019-11-02,Leave,250
2019-11-03,Cons,41791
2019-11-03,Lab,41791
2019-11-03,LD,25676
2019-11-03,BP,1800
2019-11-03,SNP,650
2019-11-03,PC,736
2019-11-03,Green,750
2019-11-03,Ind,279
2019-11-03,Remain,19564
2019-11-03,Leave,450
2019-11-04,Cons,64628
2019-11-04,Lab,71407
2019-11-04,LD,36211
2019-11-04,BP,2500
2019-11-04,SNP,1000
2019-11-04,PC,1055
2019-11-04,Green,1150
2019-11-04,Ind,900
2019-11-04,Remain,26438
2019-11-04,Leave,851
2019-11-05,Cons,86534
2019-11-05,Lab,91060
2019-11-05,LD,46352
2019-11-05,BP,4552
2019-11-05,SNP,1400
2019-11-05,PC,1357
2019-11-05,Green,1600
2019-11-05,Ind,2010
2019-11-05,Remain,34360
2019-11-05,Leave,1178
